,Country,Happiness.Rank,Happiness.Score,GDP.per.capita,Health.Expectancy,Freedom,Perceptions.of.corruption,Generosity,Year,Region,Average working hours
1,Switzerland,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015,Western Europe,1589.475082
2,Iceland,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015,Northern Europe,1486.405733
3,Denmark,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015,Northern Europe,1407.148109
4,Norway,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015,Northern Europe,1391.946805
5,Canada,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015,North America,1710.780106
6,Finland,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015,Northern Europe,1607.140027
7,Netherlands,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015,Western Europe,1425.813579
8,Sweden,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015,Northern Europe,1620.925637
9,New Zealand,9,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,2015,Oceania,1750.863285
10,Australia,10,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,2015,Oceania,1746.483472
11,Israel,11,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,2015,Middle East,1895.909424
12,Costa Rica,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015,Central America,2156.910504
13,Austria,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015,Western Europe,1605.280548
14,Mexico,14,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,2015,Central America,2140
15,United States,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015,North America,1770.023174
16,Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015,South America,NA
17,Luxembourg,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015,Western Europe,1513.675761
18,Ireland,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015,Northern Europe,1770.584308
19,Belgium,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015,Western Europe,1575.456869
20,United Arab Emirates,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015,Middle East,NA
21,United Kingdom,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015,Northern Europe,1669.465155
22,Oman,22,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,2015,Middle East,NA
23,Venezuela,23,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,2015,South America,NA
24,Singapore,24,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,2015,Asia,2362.423602
25,Panama,25,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,2015,Central America,NA
26,Germany,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015,Western Europe,1400.793099
27,Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,2015,South America,1988
28,Qatar,28,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,2015,Middle East,NA
29,France,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015,Western Europe,1519.484356
30,Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015,South America,1703.468539
31,Czech Republic,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015,Eastern Europe,1756.160952
32,Uruguay,32,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,2015,South America,1556.428331
33,Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015,South America,1997.032511
34,Thailand,34,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,2015,Asia,2186.46082
35,Saudi Arabia,35,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,2015,Middle East,NA
36,Spain,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015,Southern Europe,1694.237188
37,Malta,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015,Southern Europe,1933.22857
38,Taiwan,38,6.298,1.29098,0.8753,0.3974,0.08129,0.25376,2015,Asia,2152.289784
39,Kuwait,39,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,2015,Middle East,NA
40,Suriname,40,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,2015,South America,NA
41,Trinidad and Tobago,41,6.168,1.21183,0.61483,0.55884,0.0114,0.31844,2015,South America,NA
42,El Salvador,42,6.13,0.76454,0.67737,0.4035,0.11776,0.10692,2015,Central America,NA
43,Guatemala,43,6.123,0.74553,0.64425,0.57733,0.09472,0.27489,2015,Central America,NA
44,Uzbekistan,44,6.003,0.63244,0.59772,0.65821,0.30826,0.22837,2015,Asia,NA
45,Slovakia,45,5.995,1.16891,0.78902,0.31751,0.03431,0.16893,2015,Eastern Europe,NA
46,Japan,46,5.987,1.27074,0.99111,0.49615,0.1806,0.10705,2015,Asia,1756.9
47,South Korea,47,5.984,1.24461,0.96538,0.33208,0.07857,0.18557,2015,Asia,2077.293101
48,Ecuador,48,5.975,0.86402,0.79075,0.48574,0.1809,0.11541,2015,South America,1620.198188
49,Bahrain,49,5.96,1.32376,0.74716,0.45492,0.306,0.17362,2015,Middle East,NA
50,Italy,50,5.948,1.25114,0.95446,0.26236,0.02901,0.22823,2015,Southern Europe,1717.46898
51,Bolivia,51,5.89,0.68133,0.5392,0.57414,0.088,0.20536,2015,South America,NA
52,Moldova,52,5.889,0.59448,0.61826,0.32818,0.01615,0.20951,2015,Eastern Europe,NA
53,Paraguay,53,5.878,0.75985,0.66098,0.53899,0.08242,0.3424,2015,South America,NA
54,Kazakhstan,54,5.855,1.12254,0.64368,0.51649,0.08454,0.11827,2015,Asia,NA
55,Slovenia,55,5.848,1.18498,0.87337,0.60855,0.03787,0.25328,2015,Southern Europe,1687.312737
