"Region","Year","Happiness.Score","GDP.per.capita","Health.Expectancy","Freedom","Perceptions.of.corruption","Generosity"
"Africa",2015,4.31071739130435,0.443000869565217,0.32887847826087,0.364969782608696,0.123781304347826,0.212554347826087
"Asia",2015,5.22603571428571,0.806527142857143,0.678359285714286,0.458471428571429,0.135132142857143,0.299223214285714
"Caribbean",2015,5.03733333333333,0.657493333333333,0.581376666666667,0.441796666666667,0.11236,0.297003333333333
"Caucasus",2015,4.61966666666667,0.844666666666667,0.69987,0.324846666666667,0.19432,0.07067
"Central America",2015,6.29542857142857,0.819784285714286,0.747311428571429,0.513532857142857,0.126507142857143,0.218611428571429
"Eastern Europe",2015,5.64875,1.01968625,0.73367875,0.36988375,0.049655,0.13076125
"Middle East",2015,5.59892307692308,1.16241230769231,0.725722307692308,0.400533846153846,0.219322307692308,0.235566153846154
"North America",2015,7.273,1.3604,0.88371,0.589505,0.244235,0.42958
"Northern Europe",2015,6.7547,1.272318,0.854169,0.54224,0.267538,0.299441
"Oceania",2015,7.285,1.29188,0.919965,0.64531,0.392795,0.455315
"South America",2015,6.33358333333333,0.964914166666667,0.709153333333333,0.509845833333333,0.112929166666667,0.197503333333333
"Southern Europe",2015,5.39352941176471,1.06280823529412,0.826055294117647,0.338448823529412,0.0512617647058824,0.202875882352941
"Western Europe",2015,7.05328571428571,1.36294428571429,0.911135714285714,0.610124285714286,0.278992857142857,0.287437142857143
"Africa",2016,4.28609090909091,0.536271363636364,0.280699545454545,0.313750909090909,0.121210454545455,0.215461136363636
"Asia",2016,5.24107142857143,0.914465714285714,0.589358214285714,0.403699642857143,0.130168571428571,0.316102142857143
"Caribbean",2016,5.433,0.9054,0.555975,0.3868775,0.1085425,0.2842275
"Caucasus",2016,4.63433333333333,0.940836666666667,0.60874,0.27275,0.178033333333333,0.0673966666666667
"Central America",2016,6.222125,0.9174325,0.62616,0.44259625,0.11326,0.2125625
"Eastern Europe",2016,5.691625,1.12546125,0.64555125,0.28700375,0.0521,0.13143375
"Middle East",2016,5.472,1.24338916666667,0.636998333333333,0.34767,0.192063333333333,0.245113333333333
"North America",2016,7.254,1.474055,0.8033,0.527665,0.230985,0.429555
